"249200260","£¥CKO","2024","03",24.7,"",12.7,"",-3.6,"",2.5,"",6.8,"",.0,"8",32.6,"",7.9,"","05","",2,"",1,8,4
"249200260","£¥CKO","2024","04",27.1,"",17.4,"",-1.6,"",4.5,"",10.6,"",.0,"8",50.5,"",14.0,"","24","",0,"",0,12,1
"249200370","KROŒCIENKO","2024","01",8.4,"",2.9,"",-19.5,"",-4.4,"",-1.4,"",.0,"8",82.4,"",15.0,"","24","",16,"",25,5,15
"249200370","KROŒCIENKO","2024","02",15.7,"",10.3,"",-3.8,"",2.4,"",5.6,"",.0,"8",53.8,"",22.5,"","04","",4,"",3,12,2
"249200370","KROŒCIENKO","2024","03",23.8,"",12.3,"",-4.7,"",2.4,"",6.4,"",.0,"8",24.8,"",5.5,"","28","",0,"",0,9,3
"249200370","KROŒCIENKO","2024","04",26.0,"",16.9,"",-2.0,"",4.1,"",9.9,"",.0,"8",69.0,"",15.5,"","24","",0,"",0,12,0
"249200420","NIEDZICA","2024","01",9.1,"",2.0,"",-20.8,"",-5.2,"",-2.2,"",.0,"8",74.0,"",13.0,"","24","",16,"",25,3,17
"249200420","NIEDZICA","2024","02",16.1,"",9.4,"",-4.5,"",1.6,"",4.9,"",.0,"8",66.7,"",23.5,"","04","",10,"",5,14,2
"249200420","NIEDZICA","2024","03",22.8,"",11.5,"",-5.1,"",2.2,"",6.0,"",.0,"8",39.5,"",13.0,"","12","",0,"",0,10,6
"249200420","NIEDZICA","2024","04",26.3,"",15.8,"",-2.5,"",3.7,"",9.2,"",.0,"8",75.5,"",20.0,"","20","",0,"",0,6,6
"249200480","BUKOWINA TATRZAÑSKA","2024","01",8.1,"",1.5,"",-17.1,"",-5.1,"",-2.2,"",.0,"8",74.4,"",11.8,"","01","25",31,"",27,4,16
"249200480","BUKOWINA TATRZAÑSKA","2024","02",12.6,"",7.3,"",-2.6,"",1.2,"",3.9,"",.0,"8",49.2,"",12.7,"","04","",26,"",7,14,5
"249200480","BUKOWINA TATRZAÑSKA","2024","03",19.8,"",9.4,"",-4.5,"",1.2,"",4.6,"",.0,"8",63.5,"",11.4,"","16","",5,"",5,7,10
"249200480","BUKOWINA TATRZAÑSKA","2024","04",22.8,"",13.3,"",-2.4,"",4.3,"",8.3,"",.0,"8",82.8,"",17.6,"","02","",9,"",5,7,7
"249200550","DOLINA PIÊCIU STAWÓW","2024","01",5.3,"",-.2,"",-14.2,"",-8.3,"",-4.6,"",.0,"8",103.2,"",18.6,"","25","",125,"",31,1,20
"249200550","DOLINA PIÊCIU STAWÓW","2024","02",8.3,"",2.6,"",-10.5,"",-2.6,"",-.2,"",.0,"8",132.8,"",19.0,"","11","",138,"",29,0,20
"249200550","DOLINA PIÊCIU STAWÓW","2024","03",10.3,"",2.5,"",-10.2,"",-2.7,"",-.5,"",.0,"8",127.5,"",15.9,"","12","",116,"",31,2,17
"249200550","DOLINA PIÊCIU STAWÓW","2024","04",15.8,"",6.8,"",-8.0,"",.3,"",3.1,"",.0,"8",114.7,"",16.9,"","20","",105,"",30,4,13
"249200920","PIWNICZNA","2024","01",10.1,"",2.8,"",-18.6,"",-4.8,"",-1.5,"",.0,"8",63.4,"",11.2,"","01","",14,"",19,8,9
"249200920","PIWNICZNA","2024","02",17.2,"",10.2,"",-3.6,"",2.0,"",5.5,"",.0,"8",41.6,"",15.0,"","04","",1,"",1,13,2
"249200920","PIWNICZNA","2024","03",23.3,"",12.0,"",-4.4,"",2.1,"",6.3,"",.0,"8",45.1,"",8.7,"","12","",0,"",0,11,5
"249200920","PIWNICZNA","2024","04",25.1,"",17.0,"",-1.8,"",4.0,"",9.8,"",.0,"8",53.3,"",14.3,"","24","",0,"",0,12,0
"249200930","PORONIN","2024","01",7.9,"",2.2,"",-22.9,"",-7.7,"",-3.3,"",.0,"8",77.7,"",15.8,"","01","",18,"",27,6,16
"249200930","PORONIN","2024","02",13.5,"",8.2,"",-8.5,"",.2,"",3.7,"",.0,"8",46.9,"",13.2,"","04","",15,"",7,16,5
"249200930","PORONIN","2024","03",20.3,"",10.1,"",-6.5,"",-.1,"",4.2,"",.0,"8",64.2,"",9.6,"","28","",9,"",4,11,9
"249200930","PORONIN","2024","04",23.7,"",14.0,"",-4.4,"",2.1,"",7.8,"",.0,"8",98.4,"",19.3,"","20","",9,"",4,10,9
"249200980","MSZANA DOLNA","2024","01",7.9,"",3.0,"",-21.1,"",-3.6,"",-.8,"",.0,"8",87.4,"",17.1,"","04","",16,"",17,9,12
"249200980","MSZANA DOLNA","2024","02",16.7,"",10.1,"",-3.0,"",2.6,"",5.8,"",.0,"8",74.6,"",28.5,"","04","",9,"",1,15,2
"249200980","MSZANA DOLNA","2024","03",23.0,"",11.8,"",-4.7,"",1.8,"",6.0,"",.0,"8",43.7,"",9.5,"","16","",1,"",1,12,5
"249200980","MSZANA DOLNA","2024","04",27.4,"",16.4,"",-2.4,"",4.4,"",9.8,"",.0,"8",92.1,"",25.6,"","03","",0,"",0,14,0
